,a1,a2,a3,agency,h2,h3,h4,h5,suburb,t1,t2,t3,t4,u1,u2,u3,u4
0,,,,Ray White,413442.3333333333,499751.6176470588,592733.3333333334,1120500.0,Pakenham,,450000.0,491750.0,,,,403333.3333333333,
1,,,,Barry Plant,390000.0,497537.02777777775,564862.6984126985,792000.0,Pakenham,,,,,,378000.0,,
2,,,,None,,486750.0,495000.0,,Pakenham,,,,,,,,
3,,,,hockingstuart,,492750.0,580000.0,,Pakenham,,,,,,,,
4,,,,Stockdale & Leggo,365000.0,491727.2727272727,565785.0,,Pakenham,,,478000.0,,,,,
5,,,,Nelson Alexander,,,,,Pakenham,,,,,,,,
6,,,,Harcourts,402500.0,502068.115942029,569365.9523809524,697000.0,Pakenham,,,,,,358800.0,420000.0,
7,,,,Buxton,,,,,Pakenham,,,,,,,,
8,,,,LJ Hooker,365500.0,476397.4358974359,572040.0,505000.0,Pakenham,,373750.0,559000.0,,,374000.0,422200.0,
9,,,,Jellis Craig,,,,,Pakenham,,,,,,,,
10,,,,Biggin & Scott,,512500.0,588714.2857142857,560000.0,Pakenham,,,,,,,,
11,,,,OBrien Real Estate,450000.0,504795.8333333333,609420.0,687500.0,Pakenham,,,471333.3333333333,,,376850.0,439600.0,
12,,,,Fletchers,,,,,Pakenham,,,,,,,,
13,,,,Eview Group,,,636000.0,,Pakenham,,,,,,,,
14,,,,Raine & Horne,,,,,Pakenham,,,,,,,,
15,,,,Woodards,,,,,Pakenham,,,,,,,,
16,,,,McGrath,,,,,Pakenham,,,,,,,,
17,,,,Marshall White,,,,,Pakenham,,,,,,,,
18,,,,Hodges,,470000.0,,,Pakenham,,,,,,,,
19,,,,Jellis Craig & Company Pty Ltd,,,,,Pakenham,,,,,,,,
20,,,,Noel Jones,,,,,Pakenham,,,,,,,,
21,,,,RT Edgar,,,,,Pakenham,,,,,,,,
22,,,,Philip Webb,,,,,Pakenham,,,,,,,,
23,,,,Bell Real Estate,,582500.0,,,Pakenham,,,,,,,,
24,,,,hockingstuart ,,,,,Pakenham,,,,,,,,
25,,,,Sweeney Estate Agents,,,,,Pakenham,,,,,,,,
26,,,,Brad Teal Real Estate,,,,,Pakenham,,,,,,,,
27,,,,Grant's Estate Agents,,,,,Pakenham,,,,,,,,
28,,,,Barry Plant ,,,,,Pakenham,,,,,,,,
29,,,,Hayeswinckle,,,,,Pakenham,,,,,,,,
30,,,,Harcourts Rata & Co,,,,,Pakenham,,,,,,,,
31,,,,Alex Scott & Staff,,480000.0,,,Pakenham,,,,,,,,
32,,,,Jellis Craig ,,,,,Pakenham,,,,,,,,
33,,,,PRDnationwide,,,,,Pakenham,,,,,,,,
34,,,,PRD Nationwide,,,,,Pakenham,,,,,,,,
35,,,,Miles Real Estate,,,,,Pakenham,,,,,,,,
36,,,,Gary Peer & Associates,,,,,Pakenham,,,,,,,,
37,,,,Love & Co,,,,,Pakenham,,,,,,,,
38,,,,Ray White Oakleigh,,,,,Pakenham,,,,,,,,
39,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Pakenham,,,,,,,,
40,,,,Landmark Harcourts,,,,,Pakenham,,,,,,,,
41,,,,Ray White ,,,,,Pakenham,,,,,,,,
42,,,,Professionals Methven Group,,,,,Pakenham,,,,,,,,
43,,,,Kay & Burton,,,,,Pakenham,,,,,,,,
44,,,,Jas Stephens Real Estate,,,,,Pakenham,,,,,,,,
45,,,385000.0,First National Real Estate Neilson Partners,,473329.1111111111,545571.4285714285,680000.0,Pakenham,,,420000.0,485000.0,,372500.0,414600.0,
46,,,,Clark NextRE,,,,,Pakenham,,,,,,,,
47,,,,Professionals,,,,,Pakenham,,,,,,,,
48,,,,Ballarat Real Estate,,,,,Pakenham,,,,,,,,
49,,,,Elders Real Estate,,,,,Pakenham,,,,,,,,
50,,,,Ray White,,591523.0,801250.0,822500.0,Berwick,,,,,,,,
51,,,,Barry Plant,478500.0,624347.2222222222,817333.3333333334,1596250.0,Berwick,,,510000.0,,,460666.6666666667,495000.0,
52,,,,None,,,,,Berwick,,,,,,,,
53,,,,hockingstuart,,566166.6666666666,651500.0,,Berwick,,,,,,,,
54,,,,Stockdale & Leggo,,482500.0,588000.0,,Berwick,,,,,,,,
55,,,,Nelson Alexander,,,,,Berwick,,,,,,,,
56,,,,Harcourts,536500.0,641751.3513513514,732452.380952381,893500.0,Berwick,,,613500.0,,,568000.0,516250.0,
57,,,,Buxton,,,,,Berwick,,,,,,,,
58,,,,LJ Hooker,,606785.7142857143,744333.3333333334,1140000.0,Berwick,,,565000.0,,,,,
59,,,,Jellis Craig,,,1760000.0,,Berwick,,,,,,,,
60,,,,Biggin & Scott,,611250.0,915000.0,,Berwick,,,,,,,,
61,,,,OBrien Real Estate,570000.0,640125.0,818762.4193548387,1049500.0,Berwick,,,793333.3333333334,,,,537500.0,
62,,,,Fletchers,,,,,Berwick,,,,,,,,
63,,,,Eview Group,,620000.0,716666.6666666666,,Berwick,,,,,,,,
64,,,,Raine & Horne,,,,,Berwick,,,,,,,,
65,,,,Woodards,,,,,Berwick,,,,,,,,
66,,,,McGrath,,,,,Berwick,,,,,,,,
67,,,,Marshall White,,,,,Berwick,,,,,,,,
68,,,,Hodges,,,,,Berwick,,,,,,,,
69,,,,Jellis Craig & Company Pty Ltd,,,,,Berwick,,,,,,,,
70,,,,Noel Jones,,,,,Berwick,,,,,,,,
71,,,,RT Edgar,,,,,Berwick,,,,,,,,
72,,,,Philip Webb,,,,,Berwick,,,,,,,,
73,,,,Bell Real Estate,,,,,Berwick,,,,,,,,
74,,,,hockingstuart ,,,,,Berwick,,,,,,,,
75,,,,Sweeney Estate Agents,,,,,Berwick,,,,,,,,
76,,,,Brad Teal Real Estate,,,,,Berwick,,,,,,,,
77,,,,Grant's Estate Agents,,,666500.0,,Berwick,,,,,,,,
78,,,,Barry Plant ,,,,,Berwick,,,,,,,,
79,,,,Hayeswinckle,,,,,Berwick,,,,,,,,
80,,,,Harcourts Rata & Co,,,,,Berwick,,,,,,,,
81,,,,Alex Scott & Staff,,571166.6666666666,627500.0,,Berwick,,,,,,,,
82,,,,Jellis Craig ,,,,,Berwick,,,,,,,,
83,,,,PRDnationwide,,,,,Berwick,,,,,,,,
84,,,,PRD Nationwide,,,,,Berwick,,,,,,,,
85,,,,Miles Real Estate,,,,,Berwick,,,,,,,,
86,,,,Gary Peer & Associates,,,,,Berwick,,,,,,,,
87,,,,Love & Co,,,,,Berwick,,,,,,,,
88,,,,Ray White Oakleigh,,,,,Berwick,,,,,,,,
89,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Berwick,,,,,,,,
90,,,,Landmark Harcourts,,,,,Berwick,,,,,,,,
91,,,,Ray White ,,,,,Berwick,,,,,,,,
92,,,,Professionals Methven Group,,,,,Berwick,,,,,,,,
93,,,,Kay & Burton,,,,,Berwick,,,,,,,,
94,,,,Jas Stephens Real Estate,,,,,Berwick,,,,,,,,
95,,525300.0,,First National Real Estate Neilson Partners,,595285.7142857143,959070.0,905000.0,Berwick,,,,,,421400.0,575000.0,
96,,,,Clark NextRE,,,,,Berwick,,,,,,,,
97,,,,Professionals,,,,,Berwick,,,,,,,,
98,,,,Ballarat Real Estate,,,,,Berwick,,,,,,,,
99,,,,Elders Real Estate,,,,,Berwick,,,,,,,,
100,,,,Ray White,527700.0,563932.6530612245,661051.4705882353,670000.0,Frankston,,512500.0,608000.0,,271666.6666666667,421358.3333333333,516666.6666666667,
101,,,,Barry Plant,,,,,Frankston,,,,,,,,
102,,,,None,,627500.0,,,Frankston,,,,,,,,
103,,,,hockingstuart,,642000.0,,,Frankston,,,,,,,,
104,,,,Stockdale & Leggo,,,,,Frankston,,,,,,,,
105,,,,Nelson Alexander,,,,,Frankston,,,,,,,,
106,,,,Harcourts,,553000.0,593000.0,,Frankston,,,,,,428050.0,,
107,,,,Buxton,588000.0,590000.0,,,Frankston,,,542000.0,,,,,
108,,,,LJ Hooker,,,,,Frankston,,,565000.0,,,,,
109,,,,Jellis Craig,,,,,Frankston,,,,,,,,
110,,,,Biggin & Scott,,,,990000.0,Frankston,,,,,,387666.6666666667,,
111,,,,OBrien Real Estate,,541515.0,633400.0,,Frankston,,,,,,450250.0,,
112,,,,Fletchers,,,,,Frankston,,,,,,,,
113,,465000.0,,Eview Group,556000.0,619093.1034482758,669714.2857142857,,Frankston,,480000.0,591500.0,1140000.0,239000.0,418916.6666666667,485000.0,
114,,,,Raine & Horne,,,,,Frankston,,,,,,,,
115,,,,Woodards,,,,,Frankston,,,,,,,,
116,,,,McGrath,,,,,Frankston,,,,,,,,
117,,,,Marshall White,,,,,Frankston,,,,,,,,
118,,,,Hodges,,555000.0,,,Frankston,,,,,,407000.0,,
119,,,,Jellis Craig & Company Pty Ltd,,,,,Frankston,,,,,,,,
120,,,,Noel Jones,,,,,Frankston,,,,,,,,
121,,,,RT Edgar,,,645000.0,,Frankston,,,,,,,,
122,,,,Philip Webb,,,,,Frankston,,,,,,,,
123,,,,Bell Real Estate,,,,,Frankston,,,,,,,,
124,269500.0,316500.0,439100.0,hockingstuart ,550000.0,606578.5172413794,819388.8888888889,,Frankston,,484449.0,583000.0,,291800.0,407000.0,533966.6666666666,
125,,,,Sweeney Estate Agents,,,,,Frankston,,,,,,,,
126,,,,Brad Teal Real Estate,,,,,Frankston,,,,,,,,
127,,,,Grant's Estate Agents,,,,,Frankston,,,,,,,,
128,,,,Barry Plant ,,,,,Frankston,,,,,,,,
129,,,,Hayeswinckle,,,,,Frankston,,,,,,,,
130,,,,Harcourts Rata & Co,,,,,Frankston,,,,,,,,
131,,,,Alex Scott & Staff,,,,,Frankston,,,,,,,,
132,,,,Jellis Craig ,,,,,Frankston,,,,,,,,
133,,,,PRDnationwide,,,,,Frankston,,,,,,,,
134,,,,PRD Nationwide,,,,,Frankston,,,,,,,,
135,,,,Miles Real Estate,,,,,Frankston,,,,,,,,
136,,,,Gary Peer & Associates,,,,,Frankston,,,,,,,,
137,,,,Love & Co,,,,,Frankston,,,,,,,,
138,,,,Ray White Oakleigh,,428000.0,,,Frankston,,,,,,,,
139,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Frankston,,,,,,,,
140,,,,Landmark Harcourts,,,,,Frankston,,,,,,,,
141,,,,Ray White ,,,,,Frankston,,,,,,,430000.0,
142,,,,Professionals Methven Group,,,,,Frankston,,,,,,,,
143,,,,Kay & Burton,,,,,Frankston,,,,,,,,
144,,,,Jas Stephens Real Estate,,,,,Frankston,,,,,,,,
145,,,,First National Real Estate Neilson Partners,,,,,Frankston,,,,,,,,
146,,,,Clark NextRE,,,,,Frankston,,,,,,,,
147,,,,Professionals,,,,,Frankston,,,,,,,,
148,,,,Ballarat Real Estate,,,,,Frankston,,,,,,,,
149,,,,Elders Real Estate,,,,,Frankston,,,,,,,,
150,348500.0,598000.0,,Ray White,,,,,Melbourne,,,,,,,,
151,,537500.0,1380000.0,Barry Plant,,,,,Melbourne,,,,,,,,
152,,,,None,,,,,Melbourne,,,,,,,,
153,469666.6666666667,693200.0,,hockingstuart,,,,,Melbourne,,,,,,,,
154,,600000.0,,Stockdale & Leggo,,,,,Melbourne,,,,,,,,
155,,482000.0,930000.0,Nelson Alexander,,,,,Melbourne,,,,,,,,
156,,,1285000.0,Harcourts,,,,,Melbourne,,,,,,,,
157,416214.28571428574,636750.0,1762500.0,Buxton,,,,,Melbourne,,,,,,,,
158,,,,LJ Hooker,,,,,Melbourne,,,,,,,,
159,365083.3333333333,573750.0,,Jellis Craig,,,,,Melbourne,,,,,,,,
160,391666.6666666667,600000.0,1417000.0,Biggin & Scott,,,,,Melbourne,,,,,,,,
161,,,,OBrien Real Estate,,,,,Melbourne,,,,,,,,
162,521000.0,548580.0,,Fletchers,,,,,Melbourne,,,,,,,,
163,,,,Eview Group,,,,,Melbourne,,,,,,,,
164,,550000.0,,Raine & Horne,,,,,Melbourne,,,,,,,,
165,342000.0,585000.0,,Woodards,,,,,Melbourne,,,,,,,,
166,377600.0,653333.3333333334,,McGrath,,,,,Melbourne,,,,,,,,
167,,,,Marshall White,,,,,Melbourne,,,,,,,,
168,,,,Hodges,,,,,Melbourne,,,,,,,,
169,,,,Jellis Craig & Company Pty Ltd,,,,,Melbourne,,,,,,,,
170,,1260000.0,,Noel Jones,,,,,Melbourne,,,,,,,,
171,499000.0,,,RT Edgar,,,,,Melbourne,,,,,,,,
172,,,,Philip Webb,,,,,Melbourne,,,,,,,,
173,,,,Bell Real Estate,,,,,Melbourne,,,,,,,,
174,,,,hockingstuart ,,,,,Melbourne,,,,,,,,
175,,,,Sweeney Estate Agents,,,,,Melbourne,,,,,,,,
176,,,,Brad Teal Real Estate,,,,,Melbourne,,,,,,,,
177,,,,Grant's Estate Agents,,,,,Melbourne,,,,,,,,
178,,,,Barry Plant ,,,,,Melbourne,,,,,,,,
179,,,,Hayeswinckle,,,,,Melbourne,,,,,,,,
180,,,,Harcourts Rata & Co,,,,,Melbourne,,,,,,,,
181,,,,Alex Scott & Staff,,,,,Melbourne,,,,,,,,
182,,585000.0,,Jellis Craig ,,,,,Melbourne,,,,,,,,
183,,,,PRDnationwide,,,,,Melbourne,,,,,,,,
184,,,,PRD Nationwide,,,,,Melbourne,,,,,,,,
185,,,,Miles Real Estate,,,,,Melbourne,,,,,,,,
186,,,,Gary Peer & Associates,,,,,Melbourne,,,,,,,,
187,265000.0,,,Love & Co,,,,,Melbourne,,,,,,,,
188,,,,Ray White Oakleigh,,,,,Melbourne,,,,,,,,
189,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Melbourne,,,,,,,,
190,,,,Landmark Harcourts,,,,,Melbourne,,,,,,,,
191,,,,Ray White ,,,,,Melbourne,,,,,,,,
192,,,,Professionals Methven Group,,,,,Melbourne,,,,,,,,
193,1075000.0,895000.0,,Kay & Burton,,,,,Melbourne,,,,,,,2310000.0,
194,,,,Jas Stephens Real Estate,,,,,Melbourne,,,,,,,,
195,,,,First National Real Estate Neilson Partners,,,,,Melbourne,,,,,,,,
196,,,,Clark NextRE,,,,,Melbourne,,,,,,,,
197,,,,Professionals,,,,,Melbourne,,,,,,,,
198,,,,Ballarat Real Estate,,,,,Melbourne,,,,,,,,
199,,,,Elders Real Estate,,,,,Melbourne,,,,,,,,
200,,376000.0,,Ray White,387750.0,529955.2631578947,602251.25,732125.0,Craigieburn,,,442700.0,427000.0,,,429500.0,
201,,,,Barry Plant,,,,,Craigieburn,,,,,,,,
202,,,,None,,,,,Craigieburn,,,,,,,,
203,,,,hockingstuart,,,,,Craigieburn,,,,,,,,
204,,,,Stockdale & Leggo,,,590000.0,,Craigieburn,,,,,,,,
205,,,,Nelson Alexander,,,,,Craigieburn,,,,,,,,
206,,,,Harcourts,,,695000.0,,Craigieburn,,,,,,,,
207,,,,Buxton,,,,,Craigieburn,,,,,,,,
208,,,,LJ Hooker,,533062.5,604166.6666666666,605000.0,Craigieburn,,372500.0,472500.0,,,,,
209,,,,Jellis Craig,,,,,Craigieburn,,,,,,,,
210,,,,Biggin & Scott,,486250.0,516166.6666666667,,Craigieburn,,,,,,,,
211,,,,OBrien Real Estate,380000.0,498900.0,597791.6666666666,,Craigieburn,,,,,,,,
212,,,,Fletchers,,,,,Craigieburn,,,,,,,,
213,,,,Eview Group,,,570000.0,,Craigieburn,,,,,,,,
214,,306000.0,,Raine & Horne,375000.0,504000.0,563642.8571428572,617500.0,Craigieburn,,,450000.0,,,,,
215,,,,Woodards,,,,,Craigieburn,,,,,,,,
216,,,,McGrath,,,,,Craigieburn,,,,,,,,
217,,,,Marshall White,,,,,Craigieburn,,,,,,,,
218,,,,Hodges,,,,,Craigieburn,,,,,,,,
219,,,,Jellis Craig & Company Pty Ltd,,,,,Craigieburn,,,,,,,,
220,,,,Noel Jones,,,,,Craigieburn,,,,,,,,
221,,,,RT Edgar,,,,,Craigieburn,,,,,,,,
222,,,,Philip Webb,,,,,Craigieburn,,,,,,,,
223,,,,Bell Real Estate,,,,,Craigieburn,,,,,,,,
224,,,,hockingstuart ,,,,,Craigieburn,,,,,,,,
225,,,,Sweeney Estate Agents,380000.0,,,,Craigieburn,,,,,,,,
226,,,,Brad Teal Real Estate,,505000.0,525000.0,,Craigieburn,,,,,,,,
227,,,,Grant's Estate Agents,,,,,Craigieburn,,,,,,,,
228,,,,Barry Plant ,404375.0,522456.08108108107,607158.3333333334,681333.3333333334,Craigieburn,319900.0,360333.3333333333,429400.0,440000.0,,386375.0,433000.0,
229,,,,Hayeswinckle,,,,,Craigieburn,,,,,,,,
230,,,,Harcourts Rata & Co,365000.0,480000.0,540000.0,,Craigieburn,,370000.0,418750.0,,,,,
231,,,,Alex Scott & Staff,,,,,Craigieburn,,,,,,,,
232,,,,Jellis Craig ,,,,,Craigieburn,,,,,,,,
233,,,,PRDnationwide,,,,,Craigieburn,,,,,,,,
234,,,,PRD Nationwide,,588000.0,,,Craigieburn,,,,,,,,
235,,,,Miles Real Estate,,,,,Craigieburn,,,,,,,,
236,,,,Gary Peer & Associates,,,,,Craigieburn,,,,,,,,
237,,,,Love & Co,,,541500.0,,Craigieburn,,,,,,,,
238,,,,Ray White Oakleigh,,,,,Craigieburn,,,,,,,,
239,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Craigieburn,,,,,,,,
240,,,,Landmark Harcourts,,,,,Craigieburn,,,,,,,,
241,,,,Ray White ,,,,,Craigieburn,,,,,,,,
242,,,,Professionals Methven Group,,,,,Craigieburn,,,,,,,,
243,,,,Kay & Burton,,,,,Craigieburn,,,,,,,,
244,,,,Jas Stephens Real Estate,,,,,Craigieburn,,,,,,,,
245,,,,First National Real Estate Neilson Partners,,,,,Craigieburn,,,,,,,,
246,,,,Clark NextRE,,,,,Craigieburn,,,,,,,,
247,,,,Professionals,,,,,Craigieburn,,,,,,,,
248,,,,Ballarat Real Estate,,,,,Craigieburn,,,,,,,,
249,,,,Elders Real Estate,,,,,Craigieburn,,,,,,,,
250,,,,Ray White,,,,,Sunbury,,,,,,,,
251,,,,Barry Plant,432500.0,502513.04347826086,580538.4615384615,663000.0,Sunbury,,390000.0,450000.0,,,403500.0,438888.6666666667,
252,,,,None,,530000.0,,,Sunbury,,,,,,,412500.0,
253,,,,hockingstuart,,455000.0,531000.0,,Sunbury,,,,,,,,
254,,,,Stockdale & Leggo,,,,,Sunbury,,,,,,,,
255,,,,Nelson Alexander,,,,,Sunbury,,,,,,,,
256,,,,Harcourts,,,,,Sunbury,,,,,,,,
257,,,,Buxton,,,,,Sunbury,,,,,,,,
258,,,,LJ Hooker,360000.0,,,,Sunbury,,,,,,,,
259,,,,Jellis Craig,,,,,Sunbury,,,,,,,,
260,,,,Biggin & Scott,,,,,Sunbury,,,,,,,,
261,,,,OBrien Real Estate,,,,,Sunbury,,,,,,,,
262,,,,Fletchers,,,,,Sunbury,,,,,,,,
263,,,,Eview Group,,,,,Sunbury,,,,,,,,
264,,,,Raine & Horne,456500.0,511235.13513513515,711074.074074074,895000.0,Sunbury,,,440000.0,,,385000.0,460000.0,
265,,,,Woodards,,,,,Sunbury,,,,,,,,
266,,,,McGrath,,,,,Sunbury,,,,,,,,
267,,,,Marshall White,,,,,Sunbury,,,,,,,,
268,,,,Hodges,,,,,Sunbury,,,,,,,,
269,,,,Jellis Craig & Company Pty Ltd,,,,,Sunbury,,,,,,,,
270,,,,Noel Jones,,,,,Sunbury,,,,,,,,
271,,,,RT Edgar,,,,,Sunbury,,,,,,,,
272,,,,Philip Webb,,,,,Sunbury,,,,,,,,
273,,,,Bell Real Estate,,,,,Sunbury,,,,,,,,
274,,,,hockingstuart ,,,,,Sunbury,,,,,,,,
275,,,,Sweeney Estate Agents,,,,,Sunbury,,,,,,,,
276,,,,Brad Teal Real Estate,,,,,Sunbury,,,,,,,,
277,,,,Grant's Estate Agents,,,,,Sunbury,,,,,,,,
278,,,,Barry Plant ,,,,,Sunbury,,,,,,,,
279,,,,Hayeswinckle,,,,,Sunbury,,,,,,,,
280,,,,Harcourts Rata & Co,,,,,Sunbury,,,,,,,,
281,,,,Alex Scott & Staff,,,,,Sunbury,,,,,,,,
282,,,,Jellis Craig ,,,,,Sunbury,,,,,,,,
283,,,,PRDnationwide,,,,,Sunbury,,,,,,,,
284,,,,PRD Nationwide,,,,,Sunbury,,,,,,,,
285,,,,Miles Real Estate,,,,,Sunbury,,,,,,,,
286,,,,Gary Peer & Associates,,,,,Sunbury,,,,,,,,
287,,,,Love & Co,,,,,Sunbury,,,,,,,,
288,,,,Ray White Oakleigh,,,,,Sunbury,,,,,,,,
289,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Sunbury,,,,,,,,
290,,,,Landmark Harcourts,,,,,Sunbury,,,,,,,,
291,,,,Ray White ,,,,,Sunbury,,,,,,,,
292,,,,Professionals Methven Group,,,,,Sunbury,,,,,,,,
293,,,,Kay & Burton,,,,,Sunbury,,,,,,,,
294,,,,Jas Stephens Real Estate,,,,,Sunbury,,,,,,,,
295,,,,First National Real Estate Neilson Partners,,,,,Sunbury,,,,,,,,
296,,,,Clark NextRE,,,,,Sunbury,,,,,,,,
297,,,,Professionals,,,,,Sunbury,,,,,,,,
298,,,,Ballarat Real Estate,,,,,Sunbury,,,,,,,,
299,,,,Elders Real Estate,,,,,Sunbury,,,,,,,,
300,,500000.0,,Ray White,727250.0,759800.0,931428.5714285715,967500.0,Reservoir,,568666.6666666666,622722.2222222222,,310333.3333333333,511125.0,594500.0,
301,285000.0,305000.0,,Barry Plant,912000.0,794260.8695652174,1044875.0,944500.0,Reservoir,,599187.5,636000.0,,374562.5,500941.17647058825,610750.0,
302,,,,None,,,,,Reservoir,,,,,,,,
303,,,,hockingstuart,600000.0,791500.0,912000.0,930500.0,Reservoir,,550000.0,639000.0,,,541750.0,,
304,,,,Stockdale & Leggo,740000.0,753100.0,825000.0,,Reservoir,,,,,363500.0,626875.0,,
305,,421020.0,,Nelson Alexander,864666.6666666666,857473.6842105263,987500.0,1355000.0,Reservoir,,619833.3333333334,681833.3333333334,,,564361.1111111111,,
306,,500000.0,,Harcourts,620000.0,,,,Reservoir,,,,,,,,
307,,,,Buxton,,,,,Reservoir,,,,,,,,
308,,,,LJ Hooker,,941000.0,,,Reservoir,,,,,,,,
309,,,,Jellis Craig,829000.0,771666.6666666666,,,Reservoir,,482000.0,614000.0,,,,,
310,,,,Biggin & Scott,902000.0,,,,Reservoir,,,,,,,,
311,,,,OBrien Real Estate,,699125.0,,,Reservoir,,531315.0,,,,531750.0,,
312,,,,Fletchers,,,,,Reservoir,,,,,,,,
313,,,,Eview Group,,,,,Reservoir,,,,,,,,
314,,,,Raine & Horne,,,,,Reservoir,,,,,,,,
315,,,,Woodards,1070000.0,990000.0,,,Reservoir,,562000.0,,,,,,
316,,,,McGrath,,1000000.0,1290000.0,,Reservoir,,,,,,,635000.0,
317,,,,Marshall White,,,,,Reservoir,,,,,,,,
318,,,,Hodges,,,,,Reservoir,,,,,,,,
319,,,,Jellis Craig & Company Pty Ltd,,,,,Reservoir,,,,,,,,
320,,,,Noel Jones,,,,,Reservoir,,,,,,,,
321,,,,RT Edgar,,,,,Reservoir,,,,,,,,
322,,,,Philip Webb,,,,,Reservoir,,,,,,,,
323,,,,Bell Real Estate,,,,,Reservoir,,,,,,,,
324,,,,hockingstuart ,,,,,Reservoir,,,,,,,,
325,,,,Sweeney Estate Agents,,,,,Reservoir,,595000.0,,,,,,
326,,,,Brad Teal Real Estate,,,,,Reservoir,,,,,,,,
327,,,,Grant's Estate Agents,,,,,Reservoir,,,,,,,,
328,,,,Barry Plant ,,,,,Reservoir,,,,,,,,
329,,,,Hayeswinckle,,,,,Reservoir,,,,,,,,
330,,422500.0,,Harcourts Rata & Co,579000.0,711700.0,848750.0,,Reservoir,,600000.0,629980.0,,,402300.0,604166.6666666666,
331,,,,Alex Scott & Staff,,,,,Reservoir,,,,,,,,
332,,,,Jellis Craig ,,,,,Reservoir,,,,,,,,
333,,,,PRDnationwide,,,,,Reservoir,,,,,,,,
334,,,,PRD Nationwide,,,,,Reservoir,,,,,,,,
335,269000.0,,,Miles Real Estate,,,,,Reservoir,,,,,,,,
336,,,,Gary Peer & Associates,,,,,Reservoir,,,,,,,,
337,,365000.0,,Love & Co,553750.0,848375.0,,,Reservoir,391000.0,,,,359000.0,554937.5,615750.0,
338,,,,Ray White Oakleigh,,,,,Reservoir,,,,,,,,
339,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Reservoir,,,,,,,,
340,,,,Landmark Harcourts,,,,,Reservoir,,,,,,,,
341,,,,Ray White ,,1034703.625,1084250.0,1191125.0,Reservoir,,577722.2222222222,735000.0,,328500.0,528583.3333333334,699916.6666666666,
342,,,,Professionals Methven Group,,,,,Reservoir,,,,,,,,
343,,,,Kay & Burton,,,,,Reservoir,,,,,,,,
344,,,,Jas Stephens Real Estate,,,,,Reservoir,,,,,,,,
345,,,,First National Real Estate Neilson Partners,,,,,Reservoir,,,,,,,,
346,,,,Clark NextRE,,,,,Reservoir,,,,,,,,
347,,,,Professionals,,,,,Reservoir,,,,,,,,
348,,,,Ballarat Real Estate,,,,,Reservoir,,,,,,,,
349,,,,Elders Real Estate,,,,,Reservoir,,,,,,,,
350,,,,Ray White,,517476.1904761905,605840.5652173914,,Tarneit,,,,,,,,
351,,,,Barry Plant,,,,,Tarneit,,,430000.0,,,,,
352,,,,None,,485000.0,633500.0,580000.0,Tarneit,,415000.0,,,,,,
353,,,,hockingstuart,410000.0,518916.6666666667,603088.2352941176,,Tarneit,,,,,,,,
354,,,,Stockdale & Leggo,,496500.0,635000.0,,Tarneit,,,,,,,,
355,,,,Nelson Alexander,,,630000.0,,Tarneit,,,,,,,,
356,,,,Harcourts,,,,,Tarneit,,,,,,,,
357,,,,Buxton,,,,,Tarneit,,,,,,,,
358,,,,LJ Hooker,,,,,Tarneit,,,,,,,,
359,,,,Jellis Craig,,,,,Tarneit,,,,,,,,
360,,,,Biggin & Scott,376500.0,463437.5,553580.0,342550.0,Tarneit,,,,,,,415000.0,
361,,,,OBrien Real Estate,,520000.0,593500.0,,Tarneit,,,,,,363000.0,,
362,,,,Fletchers,,,,,Tarneit,,,,,,,,
363,,,,Eview Group,,,,,Tarneit,,,,,,,,
364,,,,Raine & Horne,,510000.0,,,Tarneit,,,,,,,,
365,,,,Woodards,,,,,Tarneit,,,,,,,,
366,,,,McGrath,,,,,Tarneit,,,,,,,,
367,,,,Marshall White,,,,,Tarneit,,,,,,,,
368,,,,Hodges,,,,,Tarneit,,,,,,,,
369,,,,Jellis Craig & Company Pty Ltd,,,,,Tarneit,,,,,,,,
370,,,,Noel Jones,,,,,Tarneit,,,,,,,,
371,,,,RT Edgar,,,,,Tarneit,,,,,,,,
372,,,,Philip Webb,,,,,Tarneit,,,,,,,,
373,,,,Bell Real Estate,,,,,Tarneit,,,,,,,,
374,,,,hockingstuart ,,,,,Tarneit,,,,,,,,
375,,353000.0,,Sweeney Estate Agents,,,505000.0,610000.0,Tarneit,,,,,,,,
376,,,,Brad Teal Real Estate,,,,,Tarneit,,,,,,,,
377,,,,Grant's Estate Agents,,,,,Tarneit,,,,,,,,
378,,,,Barry Plant ,,,,,Tarneit,,,,,,,,
379,,,,Hayeswinckle,,,,,Tarneit,,,,,,,,
380,,,,Harcourts Rata & Co,,,,,Tarneit,,,,,,,,
381,,,,Alex Scott & Staff,,,,,Tarneit,,,,,,,,
382,,,,Jellis Craig ,,,,,Tarneit,,,,,,,,
383,,,,PRDnationwide,410000.0,,599500.0,,Tarneit,,,,,,,,
384,,,,PRD Nationwide,,,,,Tarneit,,,,,,,,
385,,,,Miles Real Estate,,,,,Tarneit,,,,,,,,
386,,,,Gary Peer & Associates,,,,,Tarneit,,,,,,,,
